,Lukio lunches Period 2 - 2023-24       2.10.2023 - 27.11.2023,,,,,,,,,
,,,,,,,,,,
,Split Lesson Lunch 11.40-12.05,,(lesson 11.15-11.40 - lunch - lesson 12.05-12.55),,,,,,,
,MA,,TI,,KE,,TO,,PE,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Split Lesson Lunch 12.05-12.30,,(lesson 11:15-12.05 - lunch - lesson 12.30-12.55),,,,,,,
,MA,,TI,,KE,,TO,,PE,
,läi08.1 HTe,24,lmab09.1fe/xLmab08.1f EMa,18,lmaa03.4f HNo,30,lmab09.2fe/xLmab08.2fe EMa,27,lena05.5 PSk,32
,läi01+02+03.1 TLy,28,läi10.2/xLäi08.1 HTe,27,lfy08.2fe JMa,17,lena01+02.4 PSk,24,läi10.1 JJu,23
,lrub01+02.2 MPa,28,lyh03.2fe ATa,33,lena05.2 RKo,30,lmaa13.3f EHä,29,lyh03.3fe/xLyh03.3fe VKo,26
,lena01+02.3 RKo,27,lmaa03.3f/lmaa03.5f NNu/EHä,55,lsaa07.1/lsab207.1/lsab309.1 JSn,10,lyh03.4fe VKo,22,lhi03.4ef/xLhi03.3ef SHi,32
,lrub01+02.4 PAu,28,leaa07.1/leab207.1 APo,10,lhi02.4f SHi,28,lhi03.5ef SHi,34,lfi02.4f LLa,26
,läi01+02+03.6 JJu,26,lraa03.1/lrab203.1/lrab305.1/xLrab305.1 IWi,14,lte01.5ef/xLte01.5ef OVi,31,lue02.2f NMä,29,läi08.3 TLy,22
,ls201+02+03.1 MAl,27,lbi04.2fe ARa,20,lena06.1 PAu,32,lmaa06+07.3f/ lmaa09.3f NNu,28,lfy01+02.6fe MSl,27
,lmaa13.3f EHä,29,lop01.10abi IKu,13,lfy01+02.2f EHy,25,lrub04.6 LJu,26,lbi01.7ef CFr,24
,lrub04.6 LJu,26,lop01.2abi PKa,25,lbi01.3f ARa,26,lmaa06+07.5ef/lmaa09.5ef LEk,27,lge01.2f yt MMe,26
,,,lop01.7abi KMa,10,lmaa13.1f NNu,16,,,,
,,,,,,,,,,
,,243,,225,,245,,246,,238
,,,,,,,,,,
,Normal Lunch 12.30-13.00,,(lesson 11:15-12.30 ),,,,,,,
,MA,,TI,,KE,,TO,,PE,
,lmab09.2fe/xLmab08.2fe EMa,27,lmu01.4e ILe,19,lke01+02.1f EMa,25,lmaa06+07.1f/lmaa09.1f HNo,29,lmu01.1e MMc,28
,lmaa06+07.1f/lmaa09.1f HNo,29,lmu02.2e MMc,15,lmu01.6e ILe,26,lmab04.1fe JMa,28,lli01.2fe RKi,25
,lmab04.1fe JMa,28,lke03.1fe HHu,25,lku01.7ef EPe,27,läi08.1 HTe,24,lku01.3f EPe,27
,lmaa06+07.5ef/lmaa09.5ef LEk,27,lmaa03.1f HNo,28,lmu01.8e MMc,27,läi01+02+03.1 TLy,28,lke01+02.4f HHu,16
,lena01+02.4 PSk,24,lmaa03.2f IKa,25,lena05.6 PSk,33,lrub01+02.2 MPa,28,lli01.5fe ALa,16
,lmaa06+07.3f/ lmaa09.3f NNu,28,lmaa03.6ef LEk,27,läi08.4 HTe,33,lena01+02.3 RKo,27,lke01+02.8ef NNu,27
,lyh03.4fe VKo,22,lsaa03.1/lsab306.1/lsab204.1 JSn,18,läi11.5/xLäi09.5 JJu,18,lrub01+02.4 PAu,28,lyh02.1f/xLyh02.1 ATa,34
,lhi03.5ef SHi,34,lps03.1fe LLa,13,lyh02.3f tt VKo,20,läi01+02+03.6 JJu,26,lmaa13.4f HNo,24
,lue02.2f NMä,29,lbi04.3ef CFr,28,lrub07.2/xLrub07.2 MPa,21,ls201+02+03.1 MAl,27,lena05.3 RKo,30
,,,lbi01.5f POj,16,ls208.1 MAl,21,,,lte01.6ef OVi,26
,,,lop01.5abi RKa,16,,,,,lrua07.1 PAu,10
,,,,,,,,,,
,,248,,230,,251,,245,,263
,,,,,,,,,,
,,,,,,,,,,
,"li, mu, ku, ke",,,,,,,,,
,A35-A38,,,,,,,,,
